d,o,h,l,c,v,a,mc,s,m,rs
1999-01-28,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-01-29,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-01,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-02,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-03,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-04,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-05,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-08,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-09,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-10,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-11,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-12,0.0,0.0,0.0,10250.0,0.0,0.0,1574400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-18,9050.0,9050.0,9050.0,9050.0,1.0,9050.0,1390080000.0,153600,KOSDAQ,tradable_ohlcv
1999-02-19,0.0,0.0,0.0,9050.0,0.0,0.0,1390080000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-22,7970.0,7970.0,7970.0,7970.0,1.0,7970.0,1224192000.0,153600,KOSDAQ,tradable_ohlcv
1999-02-23,0.0,0.0,0.0,7970.0,0.0,0.0,1224192000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-24,0.0,0.0,0.0,7970.0,0.0,0.0,1224192000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-02-25,8920.0,8920.0,8920.0,8920.0,590.0,5262800.0,1370112000.0,153600,KOSDAQ,tradable_ohlcv
1999-02-26,0.0,0.0,0.0,8920.0,0.0,0.0,1370112000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-02,0.0,0.0,0.0,8920.0,0.0,0.0,1370112000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-03,0.0,0.0,0.0,8920.0,0.0,0.0,1370112000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-04,0.0,0.0,0.0,8920.0,0.0,0.0,1370112000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-05,0.0,0.0,0.0,8920.0,0.0,0.0,1370112000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-08,0.0,0.0,0.0,8920.0,0.0,0.0,1370112000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-09,9990.0,9990.0,9990.0,9990.0,1000.0,9990000.0,1534464000.0,153600,KOSDAQ,tradable_ohlcv
1999-03-10,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-11,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-12,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-15,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-16,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-17,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-18,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-19,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-22,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-23,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-24,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-25,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-26,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-29,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-30,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-03-31,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-01,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-02,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-06,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-07,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-08,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-09,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-12,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-13,0.0,0.0,0.0,9990.0,0.0,0.0,1534464000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-14,8800.0,8800.0,8800.0,8800.0,1.0,8800.0,1351680000.0,153600,KOSDAQ,tradable_ohlcv
1999-04-15,0.0,0.0,0.0,8800.0,0.0,0.0,1351680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-16,0.0,0.0,0.0,8800.0,0.0,0.0,1351680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-19,9850.0,9850.0,9850.0,9850.0,500.0,4925000.0,1512960000.0,153600,KOSDAQ,tradable_ohlcv
1999-04-20,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-21,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-22,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-23,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-26,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-27,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-28,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-29,0.0,0.0,0.0,9850.0,0.0,0.0,1512960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-04-30,0.0,0.0,0.0,11000.0,0.0,0.0,1689600000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-03,9700.0,9700.0,9700.0,9700.0,1.0,9700.0,1489920000.0,153600,KOSDAQ,tradable_ohlcv
1999-05-04,0.0,0.0,0.0,9700.0,0.0,0.0,1489920000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-06,8540.0,8540.0,8540.0,8540.0,1.0,8540.0,1311744000.0,153600,KOSDAQ,tradable_ohlcv
1999-05-07,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-10,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-11,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-12,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-13,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-14,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-17,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-18,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-19,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-20,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-21,0.0,0.0,0.0,8540.0,0.0,0.0,1311744000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-24,0.0,0.0,0.0,8900.0,0.0,0.0,1367040000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-25,0.0,0.0,0.0,9600.0,0.0,0.0,1474560000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-26,0.0,0.0,0.0,9600.0,0.0,0.0,1474560000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-27,10750.0,10750.0,10750.0,10750.0,1110.0,11932500.0,1651200000.0,153600,KOSDAQ,tradable_ohlcv
1999-05-28,0.0,0.0,0.0,12000.0,0.0,0.0,1843200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-05-31,0.0,0.0,0.0,13000.0,0.0,0.0,1996800000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-01,0.0,0.0,0.0,14550.0,0.0,0.0,2234880000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-02,0.0,0.0,0.0,16250.0,0.0,0.0,2496000000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-03,0.0,0.0,0.0,17000.0,0.0,0.0,2611200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-04,0.0,0.0,0.0,17000.0,0.0,0.0,2611200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-07,0.0,0.0,0.0,17000.0,0.0,0.0,2611200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-08,0.0,0.0,0.0,17000.0,0.0,0.0,2611200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-09,0.0,0.0,0.0,17000.0,0.0,0.0,2611200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-10,0.0,0.0,0.0,17000.0,0.0,0.0,2611200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-11,0.0,0.0,0.0,17000.0,0.0,0.0,2611200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-14,0.0,0.0,0.0,19000.0,0.0,0.0,2918400000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-15,0.0,0.0,0.0,19100.0,0.0,0.0,2933760000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-16,0.0,0.0,0.0,19100.0,0.0,0.0,2933760000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-17,0.0,0.0,0.0,21350.0,0.0,0.0,3279360000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-18,0.0,0.0,0.0,23900.0,0.0,0.0,3671040000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-21,0.0,0.0,0.0,26750.0,0.0,0.0,4108800000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-22,0.0,0.0,0.0,26750.0,0.0,0.0,4108800000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-23,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-24,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-25,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-28,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-29,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-06-30,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-01,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-02,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-05,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-06,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-07,0.0,0.0,0.0,27000.0,0.0,0.0,4147200000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-08,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-09,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-12,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-13,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-14,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-15,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-16,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-19,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-20,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-21,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-22,0.0,0.0,0.0,30200.0,0.0,0.0,4638720000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-23,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-26,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-27,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-28,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-29,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-07-30,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-02,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-03,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-04,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-05,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-06,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-09,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-10,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-11,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-12,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-13,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-16,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-17,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-18,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-19,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-20,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-23,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-24,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-25,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-26,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-27,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-30,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-08-31,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-01,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-02,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-03,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-06,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-07,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-08,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-09,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-10,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-13,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-14,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-15,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-16,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-17,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-20,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-21,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-22,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-27,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-28,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-29,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-09-30,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-01,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-04,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-05,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-06,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-07,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-08,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-11,0.0,0.0,0.0,33800.0,0.0,0.0,5191680000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-12,0.0,0.0,0.0,37850.0,0.0,0.0,5813760000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-13,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-14,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-15,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-18,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-19,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-20,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-21,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-22,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-25,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-26,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-27,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-28,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-10-29,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-01,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-02,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-03,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-04,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-05,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-08,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-09,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-10,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-11,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-12,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-15,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-16,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-17,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-18,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-19,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-22,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
1999-11-23,0.0,0.0,0.0,42350.0,0.0,0.0,6504960000.0,153600,KOSDAQ,non_tradable_zero_volume
