d,o,h,l,c,v,a,mc,s,m,rs
2023-01-02,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-03,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-04,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-05,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-06,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-09,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-10,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-11,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-12,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-13,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-16,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-17,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-18,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-19,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-20,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-25,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-26,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-27,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-30,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-01-31,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-01,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-02,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-03,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-06,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-07,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-08,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-09,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-10,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-13,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-14,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-15,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-16,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-17,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-20,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-21,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-22,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-23,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-24,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-27,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-02-28,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-02,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-03,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-06,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-07,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-08,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-09,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-10,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-13,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-14,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-15,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-16,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-17,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-20,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-21,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-22,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-23,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-24,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-27,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-28,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-29,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-30,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-03-31,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-03,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-04,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-05,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-06,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-07,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-10,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-11,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-12,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-13,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-14,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-17,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-18,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-19,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-20,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-21,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-24,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-25,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-26,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-27,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-04-28,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-02,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-03,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-04,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-08,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-09,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-10,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-11,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-12,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-15,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-16,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-17,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-18,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-19,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-22,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-23,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-24,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-25,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-26,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-30,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-05-31,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-01,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-02,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-05,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-07,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-08,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-09,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-12,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-13,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-14,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-15,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-16,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-19,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-20,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-21,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-22,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-23,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-26,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-27,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-28,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-29,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-06-30,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-03,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-04,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-05,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-06,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-07,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-10,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-11,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-12,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-13,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-14,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-17,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-18,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-19,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-20,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-21,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-24,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-25,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-26,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-27,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-28,0.0,0.0,0.0,5950.0,0.0,0.0,35803952450.0,6017471,KONEX,non_tradable_zero_volume
2023-07-31,2985.0,3000.0,2540.0,2550.0,91247.0,242300695.0,15344551050.0,6017471,KONEX,tradable_ohlcv
2023-08-01,2750.0,2750.0,2170.0,2200.0,12692.0,28953705.0,13238436200.0,6017471,KONEX,tradable_ohlcv
2023-08-02,2205.0,2530.0,2200.0,2215.0,26400.0,62116675.0,13328698265.0,6017471,KONEX,tradable_ohlcv
2023-08-03,2300.0,2495.0,2200.0,2385.0,13326.0,30370445.0,14351668335.0,6017471,KONEX,tradable_ohlcv
2023-08-04,2330.0,2515.0,2300.0,2510.0,5460.0,13051455.0,15103852210.0,6017471,KONEX,tradable_ohlcv
2023-08-07,2400.0,2880.0,2200.0,2875.0,6100.0,14999240.0,17300229125.0,6017471,KONEX,tradable_ohlcv
