d,o,h,l,c,v,a,mc,s,m,rs
2002-01-02,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-03,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-04,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-07,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-08,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-09,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-10,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-11,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-14,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-15,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-16,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-17,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-18,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-21,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-22,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-23,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-24,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-25,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-28,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-29,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-30,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-01-31,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-01,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-04,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-05,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-06,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-07,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-08,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-14,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-15,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-18,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-19,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-20,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-21,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
2002-02-22,0.0,0.0,0.0,8630.0,0.0,0.0,785459450.0,91015,KOSPI,non_tradable_zero_volume
