d,o,h,l,c,v,a,mc,s,m,rs
2021-01-04,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-05,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-06,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-07,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-08,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-11,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-12,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-13,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-14,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-15,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-18,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-19,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-20,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-21,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-22,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-25,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-26,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-27,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-28,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-01-29,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-01,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-02,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-03,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-04,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-05,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-08,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-09,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-10,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-15,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-16,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-17,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-18,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-19,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-22,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-23,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-24,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-25,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-02-26,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-02,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-03,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-04,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-05,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-08,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-09,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-10,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-11,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-12,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-15,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-16,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-17,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-18,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-19,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
2021-03-22,0.0,0.0,0.0,1995.0,0.0,0.0,13655775000.0,6845000,KOSDAQ,non_tradable_zero_volume
