d,o,h,l,c,v,a,mc,s,m,rs
2024-01-02,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-03,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-04,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-05,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-08,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-09,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-10,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-11,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-12,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-15,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-16,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-17,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-18,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-19,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-22,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-23,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-24,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-25,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-26,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-29,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-30,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-01-31,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-02-01,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-02-02,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-02-05,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
2024-02-06,0.0,0.0,0.0,366.0,0.0,0.0,7721265564.0,21096354,KOSDAQ,non_tradable_zero_volume
