d,o,h,l,c,v,a,mc,s,m,rs
2018-01-02,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-03,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-04,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-05,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-08,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-09,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-10,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-11,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-12,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-15,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-16,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-17,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-18,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-19,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-22,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-23,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-24,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-25,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-26,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-29,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-30,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-01-31,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-01,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-02,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-05,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-06,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-07,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-08,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-09,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-12,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-13,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-14,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-19,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-20,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-21,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-22,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-23,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-26,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-27,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-02-28,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-03-02,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-03-05,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-03-06,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-03-07,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-03-08,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
2018-03-09,0.0,0.0,0.0,14500.0,0.0,0.0,284061249500.0,19590431,KOSDAQ,non_tradable_zero_volume
