d,o,h,l,c,v,a,mc,s,m,rs
2021-03-17,40000.0,52000.0,37200.0,42600.0,11461578.0,513978791200.0,252115320000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-18,44750.0,55300.0,43950.0,51000.0,7693343.0,391903732700.0,301828200000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-19,50900.0,66300.0,49900.0,66300.0,7480151.0,440692364900.0,392376660000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-22,72000.0,84000.0,68100.0,75200.0,7549138.0,584654350700.0,445048640000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-23,73600.0,82300.0,67200.0,69000.0,3447922.0,259563990000.0,408355800000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-24,67700.0,70100.0,62200.0,63400.0,1069131.0,69430978300.0,375213880000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-25,64400.0,68200.0,57600.0,59500.0,1910315.0,120159137200.0,352132900000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-26,59000.0,62000.0,57100.0,60800.0,936841.0,56113769700.0,359826560000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-29,60000.0,60600.0,54500.0,54500.0,455261.0,25952440100.0,322541900000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-30,54400.0,57100.0,52200.0,54300.0,451480.0,24625015800.0,321358260000.0,5918200,KOSDAQ,tradable_ohlcv
2021-03-31,54800.0,55700.0,52100.0,52200.0,311356.0,16754815200.0,308930040000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-01,52300.0,52900.0,50200.0,52500.0,220899.0,11374254700.0,310705500000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-02,52200.0,56800.0,51900.0,55300.0,423373.0,23073756500.0,327276460000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-05,56100.0,60600.0,55300.0,56900.0,733243.0,42615581300.0,336745580000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-06,59000.0,59900.0,53800.0,55600.0,374788.0,21200805500.0,329051920000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-07,56600.0,57500.0,53500.0,53500.0,352942.0,19619326900.0,316623700000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-08,53700.0,54500.0,52200.0,54400.0,176868.0,9415355800.0,321950080000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-09,54400.0,59500.0,53700.0,56900.0,407172.0,22952392200.0,336745580000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-12,57300.0,61000.0,55700.0,58800.0,371120.0,21941301500.0,347990160000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-13,58000.0,59400.0,55500.0,57100.0,244765.0,13994098600.0,337929220000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-14,57100.0,74200.0,56100.0,74200.0,2165704.0,145577767700.0,439130440000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-15,74500.0,79300.0,67100.0,67500.0,1538128.0,109974452400.0,399478500000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-16,68000.0,83800.0,67500.0,76100.0,4205944.0,329315883100.0,450375020000.0,5918200,KOSDAQ,tradable_ohlcv
2021-04-19,75100.0,79600.0,72200.0,77500.0,1206035.0,91754371500.0,478035112500.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-20,76400.0,83500.0,75200.0,79000.0,1105087.0,87573718900.0,487287405000.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-21,78200.0,87400.0,74700.0,75300.0,1779354.0,146447649300.0,464465083500.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-22,76600.0,79000.0,71200.0,71500.0,507799.0,37631661100.0,441025942500.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-23,71300.0,72100.0,66900.0,67600.0,320422.0,22062637000.0,416969982000.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-26,67800.0,68900.0,65000.0,65700.0,186551.0,12444825000.0,405250411500.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-27,65700.0,68200.0,65000.0,66000.0,200585.0,13400720800.0,407100870000.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-28,66000.0,69400.0,66000.0,68300.0,228449.0,15584937500.0,421287718500.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-29,68300.0,69100.0,61100.0,61500.0,245721.0,15805359200.0,379343992500.0,6168195,KOSDAQ,tradable_ohlcv
2021-04-30,61300.0,61800.0,55900.0,57300.0,259638.0,15021793600.0,353437573500.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-03,57200.0,59000.0,53900.0,54000.0,127019.0,7126175300.0,333082530000.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-04,54000.0,54600.0,50200.0,53000.0,166200.0,8618803800.0,326914335000.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-06,52700.0,53500.0,51000.0,51200.0,102370.0,5306907700.0,315811584000.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-07,51600.0,56300.0,51000.0,52600.0,273194.0,14765470600.0,324447057000.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-10,53100.0,59700.0,53100.0,55300.0,397201.0,22561870700.0,341101183500.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-11,55000.0,55000.0,51400.0,52000.0,143970.0,7581888400.0,320746140000.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-12,52100.0,52900.0,48950.0,49000.0,127662.0,6440706300.0,302241555000.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-13,48000.0,48000.0,44950.0,45500.0,172895.0,8015250250.0,280652872500.0,6168195,KOSDAQ,tradable_ohlcv
2021-05-14,45600.0,47500.0,45500.0,46050.0,80873.0,3759247750.0,284045379750.0,6168195,KOSDAQ,tradable_ohlcv
