d,o,h,l,c,v,a,mc,s,m,rs
2013-01-02,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-03,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-04,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-07,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-08,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-09,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-10,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-11,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-14,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-15,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-16,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-17,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-18,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-21,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-22,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-23,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-24,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-25,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-28,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-29,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-30,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-01-31,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-01,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-04,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-05,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-06,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-07,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-08,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-12,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-13,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-14,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-15,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-18,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-19,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
2013-02-20,0.0,0.0,0.0,304.0,0.0,0.0,18694505840.0,61495085,KOSDAQ,non_tradable_zero_volume
