d,o,h,l,c,v,a,mc,s,m,rs
1999-01-04,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-05,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-06,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-07,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-08,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-11,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-12,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-13,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-14,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-15,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-18,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-19,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-20,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-21,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-22,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-25,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-26,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
1999-01-27,0.0,0.0,0.0,14300.0,0.0,0.0,7879300.0,551,KOSPI,non_tradable_zero_volume
