d,o,h,l,c,v,a,mc,s,m,rs
1999-01-04,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-05,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-06,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-07,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-08,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-11,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-12,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-13,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-14,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-15,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-18,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-19,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-20,0.0,0.0,0.0,22600.0,0.0,0.0,6328000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-21,20000.0,20000.0,20000.0,20000.0,1100.0,22000000.0,5600000000.0,280000,KOSDAQ,tradable_ohlcv
1999-01-22,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-25,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-26,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-27,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-28,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-01-29,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-01,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-02,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-03,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-04,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-05,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-08,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-09,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-10,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-11,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-12,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-18,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-19,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-22,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-23,20000.0,20000.0,20000.0,20000.0,6500.0,130000000.0,5600000000.0,280000,KOSDAQ,tradable_ohlcv
1999-02-24,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-25,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-02-26,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-02,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-03,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-04,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-05,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-08,20000.0,20000.0,20000.0,20000.0,7000.0,140000000.0,5600000000.0,280000,KOSDAQ,tradable_ohlcv
1999-03-09,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-10,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-11,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-12,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-15,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-16,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-17,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
1999-03-18,0.0,0.0,0.0,20000.0,0.0,0.0,5600000000.0,280000,KOSDAQ,non_tradable_zero_volume
