d,o,h,l,c,v,a,mc,s,m
2017-01-02,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-03,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-04,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-05,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-06,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-09,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-10,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-11,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-12,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-13,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-16,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-17,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-18,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-19,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-20,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-23,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-24,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-25,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-26,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-01-31,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-01,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-02,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-03,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-06,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-07,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-08,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-09,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-10,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
2017-02-13,0.0,1260.0,0.0,1260.0,0.0,0.0,42209080200.0,33499270,KOSDAQ
